ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,25.54%,2.08%,0.975575441,8.14%,80.00%,60.00%,0.625,0.714,0.382,0.688,0.560,0.500
2,0.000,1.000,0.000,0.000,0.000,0.000,24.96%,0.40%,1.350801027,7.75%,85.00%,75.00%,0.599,0.431,0.737,0.634,0.680,0.725
3,0.000,0.000,1.000,0.000,0.000,0.000,23.12%,1.35%,1.040006305,8.78%,80.00%,40.00%,0.518,0.590,0.443,0.777,0.560,0.200
4,0.000,0.000,0.000,1.000,0.000,0.000,20.38%,-0.26%,1.291898675,8.86%,70.00%,60.00%,0.396,0.320,0.682,0.788,0.320,0.500
5,0.000,0.000,0.000,0.000,1.000,0.000,16.38%,-0.08%,0.97470562,4.61%,80.00%,45.00%,0.219,0.351,0.381,0.200,0.560,0.275
6,0.000,0.000,0.000,0.000,0.000,1.000,17.35%,-0.72%,1.227074581,8.07%,75.00%,50.00%,0.262,0.243,0.620,0.679,0.440,0.350
7,0.500,0.500,0.000,0.000,0.000,0.000,29.49%,2.46%,1.060690113,6.49%,90.00%,70.00%,0.800,0.778,0.462,0.460,0.800,0.650
8,0.500,0.000,0.500,0.000,0.000,0.000,25.59%,1.96%,1.010396834,8.34%,80.00%,50.00%,0.627,0.693,0.415,0.716,0.560,0.350
9,0.000,0.500,0.500,0.000,0.000,0.000,24.82%,1.24%,1.138027976,7.72%,75.00%,65.00%,0.593,0.572,0.536,0.630,0.440,0.575
10,0.500,0.000,0.000,0.500,0.000,0.000,22.76%,1.89%,0.850334931,5.98%,85.00%,55.00%,0.502,0.682,0.263,0.390,0.680,0.425
11,0.000,0.500,0.000,0.500,0.000,0.000,26.13%,0.70%,1.351860421,8.49%,80.00%,70.00%,0.651,0.481,0.738,0.736,0.560,0.650
12,0.000,0.000,0.500,0.500,0.000,0.000,22.83%,1.71%,0.912782533,7.18%,80.00%,60.00%,0.505,0.653,0.322,0.555,0.560,0.500
13,0.500,0.000,0.000,0.000,0.500,0.000,24.39%,1.54%,1.015146796,5.73%,85.00%,70.00%,0.574,0.624,0.419,0.355,0.680,0.650
14,0.000,0.500,0.000,0.000,0.500,0.000,18.45%,-0.74%,1.264588698,6.29%,70.00%,55.00%,0.311,0.239,0.656,0.432,0.320,0.425
15,0.000,0.000,0.500,0.000,0.500,0.000,21.53%,1.26%,0.934076432,5.72%,85.00%,55.00%,0.447,0.577,0.342,0.354,0.680,0.425
16,0.000,0.000,0.000,0.500,0.500,0.000,15.96%,-0.97%,1.186506383,6.20%,70.00%,45.00%,0.200,0.200,0.582,0.420,0.320,0.275
17,0.500,0.000,0.000,0.000,0.000,0.500,23.85%,2.07%,0.878797973,7.27%,90.00%,50.00%,0.550,0.713,0.290,0.568,0.800,0.350
18,0.000,0.500,0.000,0.000,0.000,0.500,27.56%,0.73%,1.416786913,8.70%,85.00%,80.00%,0.715,0.487,0.800,0.765,0.680,0.800
19,0.000,0.000,0.500,0.000,0.000,0.500,23.51%,1.47%,1.020052502,8.09%,80.00%,60.00%,0.535,0.611,0.424,0.681,0.560,0.500
20,0.000,0.000,0.000,0.500,0.000,0.500,18.67%,-0.61%,1.288934605,8.95%,75.00%,55.00%,0.320,0.261,0.679,0.800,0.440,0.425
21,0.000,0.000,0.000,0.000,0.500,0.500,18.25%,-0.15%,1.100084926,5.48%,70.00%,60.00%,0.302,0.339,0.500,0.321,0.320,0.500
22,0.333,0.333,0.333,0.000,0.000,0.000,29.01%,2.27%,1.091539761,7.13%,80.00%,75.00%,0.779,0.745,0.492,0.549,0.560,0.725
23,0.333,0.333,0.000,0.333,0.000,0.000,24.91%,1.73%,1.007484456,6.63%,80.00%,55.00%,0.597,0.656,0.412,0.479,0.560,0.425
24,0.333,0.000,0.333,0.333,0.000,0.000,23.77%,1.71%,0.960763719,7.19%,85.00%,60.00%,0.547,0.652,0.367,0.557,0.680,0.500
25,0.000,0.333,0.333,0.333,0.000,0.000,25.81%,1.36%,1.160275552,7.77%,80.00%,65.00%,0.637,0.593,0.557,0.636,0.560,0.575
26,0.333,0.333,0.000,0.000,0.333,0.000,22.07%,0.38%,1.179684242,5.96%,75.00%,60.00%,0.471,0.427,0.575,0.387,0.440,0.500
27,0.333,0.000,0.333,0.000,0.333,0.000,25.53%,2.18%,0.924903302,6.27%,80.00%,60.00%,0.624,0.731,0.333,0.430,0.560,0.500
28,0.000,0.333,0.333,0.000,0.333,0.000,21.13%,0.25%,1.165647357,6.28%,70.00%,55.00%,0.430,0.406,0.562,0.431,0.320,0.425
29,0.333,0.000,0.000,0.333,0.333,0.000,18.81%,1.00%,0.844841145,4.77%,80.00%,50.00%,0.327,0.533,0.258,0.222,0.560,0.350
30,0.000,0.333,0.000,0.333,0.333,0.000,20.61%,-0.42%,1.312164113,7.06%,70.00%,55.00%,0.406,0.293,0.701,0.539,0.320,0.425
31,0.000,0.000,0.333,0.333,0.333,0.000,18.94%,1.09%,0.83478866,5.14%,80.00%,55.00%,0.332,0.547,0.248,0.274,0.560,0.425
32,0.333,0.333,0.000,0.000,0.000,0.333,28.35%,2.46%,1.008456897,6.88%,80.00%,65.00%,0.750,0.778,0.413,0.514,0.560,0.575
33,0.333,0.000,0.333,0.000,0.000,0.333,24.73%,1.85%,0.984688012,7.87%,80.00%,55.00%,0.589,0.676,0.390,0.650,0.560,0.425
34,0.000,0.333,0.333,0.000,0.000,0.333,27.56%,1.62%,1.18977821,8.09%,80.00%,60.00%,0.715,0.637,0.585,0.681,0.560,0.500
35,0.333,0.000,0.000,0.333,0.000,0.333,22.04%,1.54%,0.908043903,6.89%,80.00%,65.00%,0.470,0.624,0.317,0.515,0.560,0.575
36,0.000,0.333,0.000,0.333,0.000,0.333,25.45%,0.70%,1.317706331,8.56%,75.00%,75.00%,0.621,0.481,0.706,0.746,0.440,0.725
37,0.000,0.000,0.333,0.333,0.000,0.333,23.98%,1.50%,1.035423441,7.93%,75.00%,60.00%,0.556,0.616,0.438,0.659,0.440,0.500
38,0.333,0.000,0.000,0.000,0.333,0.333,25.08%,2.02%,0.944525368,6.48%,85.00%,60.00%,0.605,0.703,0.352,0.459,0.680,0.500
39,0.000,0.333,0.000,0.000,0.333,0.333,22.41%,-0.08%,1.322436117,7.03%,70.00%,70.00%,0.486,0.351,0.711,0.534,0.320,0.650
40,0.000,0.000,0.333,0.000,0.333,0.333,22.82%,1.58%,0.940287944,6.89%,80.00%,55.00%,0.504,0.629,0.348,0.515,0.560,0.425
41,0.000,0.000,0.000,0.333,0.333,0.333,15.95%,-0.87%,1.177865753,7.36%,65.00%,50.00%,0.200,0.218,0.573,0.580,0.200,0.350
42,0.250,0.250,0.250,0.250,0.000,0.000,26.67%,1.89%,1.067782415,7.31%,75.00%,65.00%,0.675,0.682,0.469,0.573,0.440,0.575
43,0.250,0.250,0.250,0.000,0.250,0.000,25.00%,1.31%,1.105712056,6.13%,85.00%,65.00%,0.601,0.585,0.505,0.411,0.680,0.575
44,0.250,0.250,0.000,0.250,0.250,0.000,20.38%,0.34%,1.099080976,5.81%,70.00%,60.00%,0.396,0.421,0.499,0.366,0.320,0.500
45,0.250,0.000,0.250,0.250,0.250,0.000,22.40%,1.87%,0.831234363,5.41%,80.00%,60.00%,0.486,0.678,0.245,0.311,0.560,0.500
46,0.000,0.250,0.250,0.250,0.250,0.000,20.79%,0.34%,1.126194056,6.31%,80.00%,70.00%,0.414,0.422,0.524,0.435,0.560,0.650
47,0.250,0.250,0.250,0.000,0.000,0.250,28.35%,2.35%,1.045163092,7.59%,80.00%,55.00%,0.749,0.759,0.448,0.612,0.560,0.425
48,0.250,0.250,0.000,0.250,0.000,0.250,26.07%,2.17%,0.964960025,6.86%,80.00%,65.00%,0.649,0.729,0.371,0.511,0.560,0.575
49,0.250,0.000,0.250,0.250,0.000,0.250,23.69%,1.98%,0.898630752,7.56%,80.00%,65.00%,0.543,0.697,0.309,0.607,0.560,0.575
50,0.000,0.250,0.250,0.250,0.000,0.250,27.88%,2.02%,1.10937736,7.96%,85.00%,70.00%,0.729,0.704,0.508,0.663,0.680,0.650
51,0.250,0.250,0.000,0.000,0.250,0.250,26.05%,1.76%,1.048478133,5.79%,90.00%,75.00%,0.648,0.660,0.451,0.364,0.800,0.725
52,0.250,0.000,0.250,0.000,0.250,0.250,26.10%,2.26%,0.940957638,6.74%,85.00%,65.00%,0.650,0.744,0.349,0.495,0.680,0.575
53,0.000,0.250,0.250,0.000,0.250,0.250,24.83%,0.98%,1.191600371,7.08%,80.00%,60.00%,0.593,0.528,0.586,0.542,0.560,0.500
54,0.250,0.000,0.000,0.250,0.250,0.250,19.38%,1.39%,0.784163442,5.00%,80.00%,55.00%,0.352,0.598,0.200,0.255,0.560,0.425
55,0.000,0.250,0.000,0.250,0.250,0.250,22.37%,0.00%,1.314775803,7.73%,75.00%,70.00%,0.484,0.363,0.703,0.631,0.440,0.650
56,0.000,0.000,0.250,0.250,0.250,0.250,20.58%,1.24%,0.899535387,6.50%,80.00%,50.00%,0.405,0.573,0.309,0.461,0.560,0.350
57,0.200,0.200,0.200,0.200,0.200,0.000,23.24%,1.40%,0.991586188,5.78%,80.00%,65.00%,0.523,0.600,0.397,0.362,0.560,0.575
58,0.200,0.200,0.200,0.200,0.000,0.200,27.36%,2.59%,0.9339347,7.34%,80.00%,60.00%,0.705,0.800,0.342,0.577,0.560,0.500
59,0.200,0.200,0.200,0.000,0.200,0.200,27.65%,2.05%,1.069434419,6.60%,80.00%,65.00%,0.719,0.708,0.471,0.475,0.560,0.575
60,0.200,0.200,0.000,0.200,0.200,0.200,23.07%,1.16%,1.043684198,6.05%,80.00%,70.00%,0.516,0.560,0.446,0.399,0.560,0.650
61,0.200,0.000,0.200,0.200,0.200,0.200,23.47%,2.29%,0.794886766,6.29%,80.00%,55.00%,0.533,0.749,0.210,0.432,0.560,0.425
62,0.000,0.200,0.200,0.200,0.200,0.200,24.29%,1.13%,1.125114122,6.77%,80.00%,80.00%,0.570,0.553,0.523,0.498,0.560,0.800
63,0.167,0.167,0.167,0.167,0.167,0.167,24.16%,1.82%,0.941707524,6.07%,80.00%,70.00%,0.564,0.670,0.349,0.403,0.560,0.650
64,1.000,0.000,0.000,0.000,0.000,0.000,7.70%,-1.59%,0.736939118,9.59%,60.00%,30.00%,0.228,0.508,0.244,0.317,0.371,0.400
65,0.000,1.000,0.000,0.000,0.000,0.000,16.75%,-1.74%,1.169840693,10.30%,70.00%,40.00%,0.589,0.482,0.587,0.367,0.543,0.600
66,0.000,0.000,1.000,0.000,0.000,0.000,9.76%,-2.60%,1.049221017,11.13%,55.00%,30.00%,0.310,0.325,0.492,0.426,0.286,0.400
67,0.000,0.000,0.000,1.000,0.000,0.000,20.34%,-1.68%,1.438915867,16.43%,70.00%,40.00%,0.733,0.491,0.800,0.800,0.543,0.600
68,0.000,0.000,0.000,0.000,1.000,0.000,17.85%,-0.89%,1.016982577,7.94%,85.00%,25.00%,0.633,0.635,0.466,0.200,0.800,0.300
69,0.000,0.000,0.000,0.000,0.000,1.000,8.36%,-3.28%,1.108073232,10.67%,55.00%,40.00%,0.254,0.200,0.538,0.393,0.286,0.600
70,0.500,0.500,0.000,0.000,0.000,0.000,14.39%,-0.18%,0.754226232,9.13%,70.00%,35.00%,0.495,0.765,0.258,0.284,0.543,0.500
71,0.500,0.000,0.500,0.000,0.000,0.000,8.65%,-2.45%,0.971649448,11.16%,55.00%,30.00%,0.266,0.351,0.430,0.428,0.286,0.400
72,0.000,0.500,0.500,0.000,0.000,0.000,14.22%,-1.54%,1.021586639,10.09%,60.00%,40.00%,0.488,0.517,0.470,0.352,0.371,0.600
73,0.500,0.000,0.000,0.500,0.000,0.000,11.22%,-0.53%,0.680928616,8.78%,65.00%,40.00%,0.368,0.700,0.200,0.260,0.457,0.600
74,0.000,0.500,0.000,0.500,0.000,0.000,22.03%,-0.99%,1.294860056,12.81%,65.00%,40.00%,0.800,0.618,0.686,0.544,0.457,0.600
75,0.000,0.000,0.500,0.500,0.000,0.000,11.82%,-2.19%,1.054915615,10.72%,65.00%,25.00%,0.392,0.399,0.496,0.397,0.457,0.300
76,0.500,0.000,0.000,0.000,0.500,0.000,12.10%,-0.71%,0.739862525,8.05%,70.00%,25.00%,0.403,0.669,0.247,0.208,0.543,0.300
77,0.000,0.500,0.000,0.000,0.500,0.000,18.26%,-1.17%,1.102439249,8.95%,65.00%,45.00%,0.649,0.584,0.534,0.272,0.457,0.700
78,0.000,0.000,0.500,0.000,0.500,0.000,13.72%,-1.44%,0.964126018,9.05%,65.00%,30.00%,0.468,0.535,0.424,0.278,0.457,0.400
79,0.000,0.000,0.000,0.500,0.500,0.000,18.55%,-1.47%,1.21266136,11.43%,75.00%,25.00%,0.661,0.529,0.621,0.447,0.629,0.300
80,0.500,0.000,0.000,0.000,0.000,0.500,7.01%,-1.83%,0.74633,9.37%,55.00%,30.00%,0.200,0.465,0.252,0.301,0.286,0.400
81,0.000,0.500,0.000,0.000,0.000,0.500,15.30%,-1.47%,1.062628689,10.48%,60.00%,40.00%,0.531,0.529,0.502,0.380,0.371,0.600
82,0.000,0.000,0.500,0.000,0.000,0.500,8.86%,-2.63%,1.012740704,10.93%,55.00%,30.00%,0.274,0.319,0.463,0.412,0.286,0.400
83,0.000,0.000,0.000,0.500,0.000,0.500,15.47%,-1.62%,1.181985597,14.43%,60.00%,40.00%,0.538,0.503,0.597,0.659,0.371,0.600
84,0.000,0.000,0.000,0.000,0.500,0.500,13.27%,-2.04%,1.056644306,8.96%,65.00%,30.00%,0.450,0.426,0.497,0.272,0.457,0.400
85,0.333,0.333,0.333,0.000,0.000,0.000,11.77%,-1.33%,0.878020616,10.22%,60.00%,35.00%,0.390,0.556,0.356,0.361,0.371,0.500
86,0.333,0.333,0.000,0.333,0.000,0.000,16.66%,-0.32%,0.891597204,9.91%,65.00%,35.00%,0.586,0.740,0.367,0.339,0.457,0.500
87,0.333,0.000,0.333,0.333,0.000,0.000,10.90%,-1.32%,0.833827479,9.94%,65.00%,25.00%,0.355,0.557,0.321,0.341,0.457,0.300
88,0.000,0.333,0.333,0.333,0.000,0.000,17.45%,-0.91%,1.049338353,10.59%,65.00%,35.00%,0.617,0.632,0.492,0.387,0.457,0.500
89,0.333,0.333,0.000,0.000,0.333,0.000,13.65%,-0.79%,0.824096842,8.16%,70.00%,35.00%,0.465,0.654,0.313,0.216,0.543,0.500
90,0.333,0.000,0.333,0.000,0.333,0.000,11.75%,-1.67%,0.93617761,9.86%,65.00%,25.00%,0.389,0.493,0.402,0.336,0.457,0.300
91,0.000,0.333,0.333,0.000,0.333,0.000,14.12%,-1.72%,1.037998429,9.31%,65.00%,30.00%,0.484,0.484,0.483,0.297,0.457,0.400
92,0.333,0.000,0.000,0.333,0.333,0.000,12.30%,-0.70%,0.746758539,8.00%,70.00%,30.00%,0.412,0.670,0.252,0.205,0.543,0.400
93,0.000,0.333,0.000,0.333,0.333,0.000,20.28%,-1.30%,1.244838663,11.00%,75.00%,40.00%,0.730,0.561,0.646,0.417,0.629,0.600
94,0.000,0.000,0.333,0.333,0.333,0.000,12.18%,-1.84%,0.973875915,8.96%,60.00%,30.00%,0.407,0.462,0.432,0.272,0.371,0.400
95,0.333,0.333,0.000,0.000,0.000,0.333,12.16%,-0.80%,0.784396339,9.56%,70.00%,35.00%,0.406,0.651,0.282,0.314,0.543,0.500
96,0.333,0.000,0.333,0.000,0.000,0.333,7.10%,-2.55%,0.913372244,10.77%,50.00%,35.00%,0.204,0.334,0.384,0.400,0.200,0.500
97,0.000,0.333,0.333,0.000,0.000,0.333,14.94%,-1.42%,1.041908291,10.69%,60.00%,40.00%,0.517,0.539,0.486,0.395,0.371,0.600
98,0.333,0.000,0.000,0.333,0.000,0.333,11.51%,-0.96%,0.780742222,9.24%,60.00%,35.00%,0.380,0.623,0.279,0.292,0.371,0.500
99,0.000,0.333,0.000,0.333,0.000,0.333,19.47%,-0.81%,1.133422425,11.60%,65.00%,40.00%,0.698,0.650,0.558,0.459,0.457,0.600
100,0.000,0.000,0.333,0.333,0.000,0.333,14.04%,-1.57%,1.038658088,11.00%,60.00%,35.00%,0.481,0.512,0.483,0.417,0.371,0.500
101,0.333,0.000,0.000,0.000,0.333,0.333,9.95%,-1.08%,0.725620036,8.68%,65.00%,30.00%,0.317,0.600,0.235,0.252,0.457,0.400
102,0.000,0.333,0.000,0.000,0.333,0.333,17.67%,-1.54%,1.159665148,9.71%,65.00%,50.00%,0.626,0.517,0.579,0.326,0.457,0.800
103,0.000,0.000,0.333,0.000,0.333,0.333,10.75%,-2.32%,1.023532221,10.26%,60.00%,30.00%,0.350,0.375,0.471,0.364,0.371,0.400
104,0.000,0.000,0.000,0.333,0.333,0.333,19.03%,-1.78%,1.332600048,13.56%,60.00%,35.00%,0.680,0.473,0.716,0.598,0.371,0.500
105,0.250,0.250,0.250,0.250,0.000,0.000,13.70%,-1.03%,0.900159241,9.88%,65.00%,30.00%,0.467,0.610,0.374,0.337,0.457,0.400
106,0.250,0.250,0.250,0.000,0.250,0.000,12.80%,-1.16%,0.874285704,9.20%,65.00%,35.00%,0.432,0.586,0.353,0.290,0.457,0.500
107,0.250,0.250,0.000,0.250,0.250,0.000,17.23%,-0.59%,0.952110264,9.05%,70.00%,35.00%,0.608,0.690,0.415,0.278,0.543,0.500
108,0.250,0.000,0.250,0.250,0.250,0.000,10.14%,-1.54%,0.821744322,8.64%,60.00%,25.00%,0.325,0.517,0.311,0.249,0.371,0.300
109,0.000,0.250,0.250,0.250,0.250,0.000,17.78%,-1.43%,1.149134885,10.02%,60.00%,40.00%,0.630,0.538,0.571,0.347,0.371,0.600
110,0.250,0.250,0.250,0.000,0.000,0.250,11.99%,-1.28%,0.886308615,10.61%,60.00%,35.00%,0.399,0.564,0.363,0.389,0.371,0.500
111,0.250,0.250,0.000,0.250,0.000,0.250,16.21%,0.02%,0.801211447,9.42%,65.00%,45.00%,0.568,0.800,0.295,0.305,0.457,0.700
112,0.250,0.000,0.250,0.250,0.000,0.250,10.36%,-1.66%,0.885673562,10.58%,50.00%,25.00%,0.334,0.496,0.362,0.387,0.200,0.300
113,0.000,0.250,0.250,0.250,0.000,0.250,15.67%,-1.20%,1.032812169,10.67%,65.00%,35.00%,0.546,0.578,0.479,0.393,0.457,0.500
114,0.250,0.250,0.000,0.000,0.250,0.250,13.89%,-0.70%,0.836850998,9.44%,75.00%,40.00%,0.475,0.670,0.323,0.306,0.629,0.600
115,0.250,0.000,0.250,0.000,0.250,0.250,10.03%,-1.96%,0.9197821,10.15%,65.00%,35.00%,0.321,0.442,0.389,0.356,0.457,0.500
116,0.000,0.250,0.250,0.000,0.250,0.250,14.98%,-1.36%,1.014202854,9.70%,65.00%,45.00%,0.518,0.550,0.464,0.325,0.457,0.700
117,0.250,0.000,0.000,0.250,0.250,0.250,13.06%,-0.79%,0.804670862,8.54%,65.00%,20.00%,0.442,0.653,0.298,0.242,0.457,0.200
118,0.000,0.250,0.000,0.250,0.250,0.250,21.92%,-0.51%,1.163657777,11.04%,65.00%,40.00%,0.796,0.704,0.582,0.419,0.457,0.600
119,0.000,0.000,0.250,0.250,0.250,0.250,12.48%,-1.66%,0.962747538,9.55%,65.00%,35.00%,0.419,0.495,0.423,0.314,0.457,0.500
120,0.200,0.200,0.200,0.200,0.200,0.000,13.87%,-1.06%,0.902265557,9.29%,70.00%,30.00%,0.474,0.604,0.375,0.296,0.543,0.400
121,0.200,0.200,0.200,0.200,0.000,0.200,14.11%,-0.90%,0.895338519,10.04%,60.00%,30.00%,0.484,0.634,0.370,0.348,0.371,0.400
122,0.200,0.200,0.200,0.000,0.200,0.200,11.64%,-1.55%,0.912706224,10.11%,70.00%,40.00%,0.385,0.516,0.383,0.354,0.543,0.600
123,0.200,0.200,0.000,0.200,0.200,0.200,16.06%,-0.72%,0.930771321,9.20%,70.00%,40.00%,0.562,0.666,0.398,0.289,0.543,0.600
124,0.200,0.000,0.200,0.200,0.200,0.200,11.47%,-1.31%,0.853121554,9.71%,55.00%,30.00%,0.378,0.558,0.336,0.325,0.286,0.400
125,0.000,0.200,0.200,0.200,0.200,0.200,17.03%,-1.30%,1.096426076,10.05%,65.00%,30.00%,0.600,0.561,0.529,0.349,0.457,0.400
