ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
126,0.167,0.167,0.167,0.167,0.167,0.167,13.73%,-1.11%,0.910100801,9.50%,70.00%,35.00%,0.469,0.595,0.381,0.311,0.543,0.500
127,1.000,0.000,0.000,0.000,0.000,0.000,22.18%,6.29%,1.580440404,16.44%,65.00%,80.00%,0.647,0.688,0.800,0.800,0.457,0.650
128,0.000,1.000,0.000,0.000,0.000,0.000,14.24%,3.99%,1.207561149,12.08%,55.00%,80.00%,0.492,0.495,0.488,0.461,0.286,0.650
129,0.000,0.000,1.000,0.000,0.000,0.000,29.57%,7.62%,1.31686207,14.78%,65.00%,85.00%,0.791,0.800,0.580,0.671,0.457,0.725
130,0.000,0.000,0.000,1.000,0.000,0.000,0.21%,1.25%,1.43796368,15.97%,50.00%,55.00%,0.218,0.264,0.681,0.764,0.200,0.275
131,0.000,0.000,0.000,0.000,1.000,0.000,3.05%,1.23%,1.109287342,10.45%,60.00%,75.00%,0.274,0.263,0.406,0.333,0.371,0.575
132,0.000,0.000,0.000,0.000,0.000,1.000,8.83%,3.14%,1.47953853,15.19%,55.00%,65.00%,0.387,0.423,0.716,0.703,0.286,0.425
133,0.500,0.500,0.000,0.000,0.000,0.000,29.75%,7.16%,0.902055261,10.25%,80.00%,85.00%,0.795,0.762,0.233,0.318,0.714,0.725
134,0.500,0.000,0.500,0.000,0.000,0.000,26.86%,7.14%,1.368879796,15.28%,65.00%,75.00%,0.738,0.760,0.623,0.710,0.457,0.575
135,0.000,0.500,0.500,0.000,0.000,0.000,28.23%,6.96%,1.049271384,11.51%,80.00%,85.00%,0.765,0.745,0.356,0.416,0.714,0.725
136,0.500,0.000,0.000,0.500,0.000,0.000,20.03%,5.33%,1.108715491,12.28%,75.00%,70.00%,0.605,0.608,0.406,0.476,0.629,0.500
137,0.000,0.500,0.000,0.500,0.000,0.000,11.94%,3.40%,1.058055685,11.20%,60.00%,80.00%,0.447,0.445,0.364,0.392,0.371,0.650
138,0.000,0.000,0.500,0.500,0.000,0.000,24.25%,6.39%,1.189589303,13.51%,70.00%,85.00%,0.688,0.697,0.473,0.572,0.543,0.725
139,0.500,0.000,0.000,0.000,0.500,0.000,18.15%,4.92%,1.218340366,12.35%,70.00%,85.00%,0.568,0.573,0.497,0.482,0.543,0.725
140,0.000,0.500,0.000,0.000,0.500,0.000,8.65%,2.42%,0.916896279,8.74%,60.00%,90.00%,0.383,0.362,0.246,0.200,0.371,0.800
141,0.000,0.000,0.500,0.000,0.500,0.000,19.54%,5.09%,1.028517198,10.98%,75.00%,90.00%,0.596,0.587,0.339,0.375,0.629,0.800
142,0.000,0.000,0.000,0.500,0.500,0.000,-0.72%,0.49%,1.14195656,11.95%,55.00%,70.00%,0.200,0.200,0.434,0.450,0.286,0.500
143,0.500,0.000,0.000,0.000,0.000,0.500,20.64%,5.71%,1.364708915,14.57%,65.00%,75.00%,0.617,0.640,0.620,0.654,0.457,0.575
144,0.000,0.500,0.000,0.000,0.000,0.500,20.03%,5.27%,1.104658954,12.00%,65.00%,80.00%,0.605,0.602,0.403,0.454,0.457,0.650
145,0.000,0.000,0.500,0.000,0.000,0.500,22.92%,6.23%,1.286115366,14.60%,65.00%,70.00%,0.662,0.683,0.554,0.657,0.457,0.500
146,0.000,0.000,0.000,0.500,0.000,0.500,7.15%,2.66%,1.274209975,14.37%,55.00%,50.00%,0.354,0.383,0.544,0.639,0.286,0.200
147,0.000,0.000,0.000,0.000,0.500,0.500,5.61%,2.07%,1.311969998,12.64%,60.00%,65.00%,0.324,0.333,0.576,0.504,0.371,0.425
148,0.333,0.333,0.333,0.000,0.000,0.000,30.01%,7.40%,1.067217706,12.06%,85.00%,85.00%,0.800,0.781,0.371,0.459,0.800,0.725
149,0.333,0.333,0.000,0.333,0.000,0.000,26.16%,6.37%,0.862257182,9.71%,85.00%,90.00%,0.725,0.695,0.200,0.276,0.800,0.800
150,0.333,0.000,0.333,0.333,0.000,0.000,25.29%,6.52%,1.146211409,12.87%,75.00%,70.00%,0.708,0.708,0.437,0.522,0.629,0.500
151,0.000,0.333,0.333,0.333,0.000,0.000,23.14%,5.88%,1.025226941,11.28%,80.00%,80.00%,0.666,0.654,0.336,0.398,0.714,0.650
152,0.333,0.333,0.000,0.000,0.333,0.000,19.41%,4.90%,0.865789537,9.29%,80.00%,85.00%,0.593,0.571,0.203,0.243,0.714,0.725
153,0.333,0.000,0.333,0.000,0.333,0.000,24.11%,6.29%,1.222054614,13.07%,70.00%,90.00%,0.685,0.688,0.501,0.538,0.543,0.800
154,0.000,0.333,0.333,0.000,0.333,0.000,19.00%,4.81%,0.889621834,9.33%,80.00%,90.00%,0.585,0.564,0.223,0.246,0.714,0.800
155,0.333,0.000,0.000,0.333,0.333,0.000,15.17%,4.05%,1.026235925,10.34%,65.00%,80.00%,0.510,0.500,0.337,0.325,0.457,0.650
156,0.000,0.333,0.000,0.333,0.333,0.000,5.69%,1.78%,0.950059735,9.44%,60.00%,80.00%,0.325,0.308,0.273,0.255,0.371,0.650
157,0.000,0.000,0.333,0.333,0.333,0.000,16.55%,4.39%,1.032675454,10.64%,70.00%,90.00%,0.537,0.529,0.342,0.348,0.543,0.800
158,0.333,0.333,0.000,0.000,0.000,0.333,27.94%,6.82%,0.894291582,10.60%,80.00%,80.00%,0.760,0.733,0.227,0.345,0.714,0.650
159,0.333,0.000,0.333,0.000,0.000,0.333,24.29%,6.52%,1.312975627,14.66%,65.00%,70.00%,0.688,0.708,0.577,0.661,0.457,0.500
160,0.000,0.333,0.333,0.000,0.000,0.333,28.80%,7.18%,1.097912372,12.45%,75.00%,80.00%,0.776,0.763,0.397,0.489,0.629,0.650
161,0.333,0.000,0.000,0.333,0.000,0.333,15.93%,4.39%,1.048151405,11.92%,70.00%,65.00%,0.525,0.528,0.355,0.448,0.543,0.425
162,0.000,0.333,0.000,0.333,0.000,0.333,16.64%,4.43%,0.961474065,10.97%,65.00%,75.00%,0.539,0.532,0.283,0.374,0.457,0.575
163,0.000,0.000,0.333,0.333,0.000,0.333,21.28%,5.78%,1.201182703,13.78%,70.00%,70.00%,0.630,0.645,0.483,0.593,0.543,0.500
164,0.333,0.000,0.000,0.000,0.333,0.333,19.84%,5.50%,1.379686261,14.15%,70.00%,80.00%,0.602,0.622,0.632,0.622,0.543,0.650
165,0.000,0.333,0.000,0.000,0.333,0.333,13.61%,3.63%,0.990142127,9.71%,55.00%,85.00%,0.480,0.464,0.307,0.275,0.286,0.725
166,0.000,0.000,0.333,0.000,0.333,0.333,22.65%,5.96%,1.183996182,12.94%,70.00%,75.00%,0.656,0.661,0.469,0.528,0.543,0.575
167,0.000,0.000,0.000,0.333,0.333,0.333,1.16%,1.20%,1.30918773,14.06%,50.00%,50.00%,0.237,0.260,0.573,0.615,0.200,0.200
168,0.250,0.250,0.250,0.250,0.000,0.000,27.50%,6.84%,1.028028719,11.64%,85.00%,85.00%,0.751,0.735,0.338,0.426,0.800,0.725
169,0.250,0.250,0.250,0.000,0.250,0.000,25.62%,6.39%,1.028468687,11.08%,80.00%,90.00%,0.714,0.697,0.339,0.383,0.714,0.800
170,0.250,0.250,0.000,0.250,0.250,0.000,16.35%,4.21%,0.887199273,9.12%,75.00%,85.00%,0.533,0.513,0.221,0.230,0.629,0.725
171,0.250,0.000,0.250,0.250,0.250,0.000,23.07%,5.92%,1.081466774,11.58%,70.00%,85.00%,0.665,0.657,0.383,0.421,0.543,0.725
172,0.000,0.250,0.250,0.250,0.250,0.000,16.12%,4.18%,0.915069482,9.40%,70.00%,85.00%,0.529,0.510,0.244,0.252,0.543,0.725
173,0.250,0.250,0.250,0.000,0.000,0.250,28.09%,7.06%,1.08141567,12.64%,75.00%,85.00%,0.763,0.753,0.383,0.504,0.629,0.725
174,0.250,0.250,0.000,0.250,0.000,0.250,23.88%,5.95%,0.885613987,10.41%,70.00%,85.00%,0.680,0.660,0.220,0.330,0.543,0.725
175,0.250,0.000,0.250,0.250,0.000,0.250,24.33%,6.42%,1.175134061,13.79%,70.00%,65.00%,0.689,0.700,0.461,0.593,0.543,0.425
176,0.000,0.250,0.250,0.250,0.000,0.250,24.13%,6.21%,1.08849983,12.40%,75.00%,80.00%,0.685,0.682,0.389,0.486,0.629,0.650
177,0.250,0.250,0.000,0.000,0.250,0.250,24.44%,6.03%,0.90855888,9.91%,80.00%,85.00%,0.691,0.666,0.239,0.291,0.714,0.725
178,0.250,0.000,0.250,0.000,0.250,0.250,24.92%,6.56%,1.301454076,14.00%,70.00%,80.00%,0.701,0.711,0.567,0.610,0.543,0.650
179,0.000,0.250,0.250,0.000,0.250,0.250,23.17%,5.84%,1.013683709,10.81%,80.00%,80.00%,0.666,0.650,0.327,0.361,0.714,0.650
180,0.250,0.000,0.000,0.250,0.250,0.250,16.67%,4.54%,1.068510094,11.76%,70.00%,70.00%,0.540,0.541,0.372,0.435,0.543,0.500
181,0.000,0.250,0.000,0.250,0.250,0.250,10.98%,3.10%,1.013628531,10.42%,55.00%,75.00%,0.429,0.419,0.326,0.331,0.286,0.575
182,0.000,0.000,0.250,0.250,0.250,0.250,19.19%,5.17%,1.133501548,12.41%,65.00%,75.00%,0.589,0.594,0.427,0.486,0.457,0.575
183,0.200,0.200,0.200,0.200,0.200,0.000,24.23%,6.03%,0.975507153,10.42%,80.00%,85.00%,0.687,0.667,0.295,0.331,0.714,0.725
184,0.200,0.200,0.200,0.200,0.000,0.200,26.76%,6.74%,1.019172581,12.09%,75.00%,85.00%,0.736,0.726,0.331,0.461,0.629,0.725
185,0.200,0.200,0.200,0.000,0.200,0.200,27.64%,6.91%,1.080582883,12.03%,75.00%,85.00%,0.754,0.741,0.382,0.456,0.629,0.725
186,0.200,0.200,0.000,0.200,0.200,0.200,19.50%,4.96%,0.908428926,9.80%,80.00%,85.00%,0.595,0.576,0.239,0.282,0.714,0.725
187,0.200,0.000,0.200,0.200,0.200,0.200,24.20%,6.28%,1.149729879,12.73%,75.00%,75.00%,0.687,0.687,0.440,0.511,0.629,0.575
188,0.000,0.200,0.200,0.200,0.200,0.200,20.01%,5.13%,0.997655949,10.54%,70.00%,90.00%,0.605,0.591,0.313,0.341,0.543,0.800
189,0.167,0.167,0.167,0.167,0.167,0.167,26.69%,6.63%,0.998147585,11.20%,80.00%,85.00%,0.735,0.717,0.314,0.392,0.714,0.725
190,1.000,0.000,0.000,0.000,0.000,0.000,1.95%,1.34%,1.902607858,21.86%,60.00%,40.00%,0.488,0.609,0.781,0.800,0.680,0.333
191,0.000,1.000,0.000,0.000,0.000,0.000,2.38%,0.64%,1.26328667,12.87%,55.00%,65.00%,0.505,0.508,0.444,0.414,0.560,0.667
192,0.000,0.000,1.000,0.000,0.000,0.000,8.03%,2.65%,1.894339115,20.83%,55.00%,50.00%,0.728,0.800,0.776,0.756,0.560,0.467
193,0.000,0.000,0.000,1.000,0.000,0.000,-0.67%,0.07%,1.425453672,15.55%,55.00%,35.00%,0.385,0.426,0.529,0.529,0.560,0.267
194,0.000,0.000,0.000,0.000,1.000,0.000,2.20%,0.44%,1.094578724,10.67%,65.00%,70.00%,0.498,0.479,0.355,0.320,0.800,0.733
195,0.000,0.000,0.000,0.000,0.000,1.000,-5.34%,-1.49%,0.859994814,8.89%,40.00%,30.00%,0.200,0.200,0.231,0.243,0.200,0.200
196,0.500,0.500,0.000,0.000,0.000,0.000,6.19%,1.63%,1.392192441,14.41%,55.00%,65.00%,0.656,0.652,0.512,0.480,0.560,0.667
197,0.500,0.000,0.500,0.000,0.000,0.000,6.17%,2.34%,1.939118385,21.82%,60.00%,50.00%,0.655,0.754,0.800,0.798,0.680,0.467
198,0.000,0.500,0.500,0.000,0.000,0.000,7.82%,1.97%,1.354461574,13.77%,55.00%,70.00%,0.720,0.700,0.492,0.453,0.560,0.733
199,0.500,0.000,0.000,0.500,0.000,0.000,6.85%,1.90%,1.524957345,16.28%,55.00%,40.00%,0.682,0.691,0.582,0.561,0.560,0.333
200,0.000,0.500,0.000,0.500,0.000,0.000,4.73%,1.23%,1.247375502,13.18%,65.00%,65.00%,0.598,0.594,0.435,0.427,0.800,0.667
201,0.000,0.000,0.500,0.500,0.000,0.000,9.84%,2.64%,1.591408676,16.61%,60.00%,55.00%,0.800,0.797,0.617,0.575,0.680,0.533
202,0.500,0.000,0.000,0.000,0.500,0.000,2.56%,0.74%,1.420759482,14.60%,55.00%,50.00%,0.512,0.522,0.527,0.488,0.560,0.467
203,0.000,0.500,0.000,0.000,0.500,0.000,4.60%,1.07%,1.091537185,10.99%,65.00%,75.00%,0.593,0.571,0.353,0.333,0.800,0.800
204,0.000,0.000,0.500,0.000,0.500,0.000,4.17%,1.10%,1.419546406,14.24%,55.00%,50.00%,0.576,0.575,0.526,0.473,0.560,0.467
205,0.000,0.000,0.000,0.500,0.500,0.000,3.57%,0.95%,1.203244498,12.94%,65.00%,60.00%,0.552,0.553,0.412,0.417,0.800,0.600
206,0.500,0.000,0.000,0.000,0.000,0.500,-2.34%,-0.62%,0.977324784,10.69%,65.00%,45.00%,0.318,0.326,0.293,0.321,0.800,0.400
207,0.000,0.500,0.000,0.000,0.000,0.500,0.62%,0.02%,0.86412172,8.73%,60.00%,50.00%,0.436,0.417,0.233,0.236,0.680,0.467
208,0.000,0.000,0.500,0.000,0.000,0.500,1.53%,0.33%,1.066938445,10.90%,55.00%,60.00%,0.472,0.463,0.340,0.330,0.560,0.600
209,0.000,0.000,0.000,0.500,0.000,0.500,0.11%,-0.06%,1.007703752,10.34%,55.00%,50.00%,0.415,0.406,0.309,0.305,0.560,0.467
210,0.000,0.000,0.000,0.000,0.500,0.500,1.00%,0.07%,0.800792483,7.88%,55.00%,45.00%,0.451,0.426,0.200,0.200,0.560,0.400
211,0.333,0.333,0.333,0.000,0.000,0.000,7.80%,2.13%,1.509222791,15.80%,55.00%,65.00%,0.720,0.724,0.573,0.540,0.560,0.667
212,0.333,0.333,0.000,0.333,0.000,0.000,6.43%,1.61%,1.347686367,13.80%,60.00%,50.00%,0.665,0.649,0.488,0.454,0.680,0.467
213,0.333,0.000,0.333,0.333,0.000,0.000,6.83%,2.02%,1.674320028,17.71%,55.00%,40.00%,0.681,0.708,0.660,0.622,0.560,0.333
214,0.000,0.333,0.333,0.333,0.000,0.000,8.05%,2.00%,1.331837873,13.57%,55.00%,65.00%,0.729,0.706,0.480,0.444,0.560,0.667
215,0.333,0.333,0.000,0.000,0.333,0.000,4.53%,1.09%,1.256505421,12.43%,60.00%,70.00%,0.590,0.573,0.440,0.395,0.680,0.733
216,0.333,0.000,0.333,0.000,0.333,0.000,6.73%,1.97%,1.614018023,17.39%,55.00%,60.00%,0.677,0.700,0.629,0.608,0.560,0.600
217,0.000,0.333,0.333,0.000,0.333,0.000,5.02%,1.18%,1.210946554,11.96%,55.00%,65.00%,0.609,0.587,0.416,0.375,0.560,0.667
218,0.333,0.000,0.000,0.333,0.333,0.000,5.02%,1.26%,1.340314875,13.66%,60.00%,55.00%,0.609,0.598,0.484,0.448,0.680,0.533
219,0.000,0.333,0.000,0.333,0.333,0.000,4.26%,1.07%,1.159335809,12.22%,65.00%,60.00%,0.580,0.570,0.389,0.386,0.800,0.600
220,0.000,0.000,0.333,0.333,0.333,0.000,7.89%,1.98%,1.374120287,14.05%,60.00%,65.00%,0.723,0.702,0.502,0.465,0.680,0.667
221,0.333,0.333,0.000,0.000,0.000,0.333,1.69%,0.32%,0.911257538,9.66%,65.00%,45.00%,0.478,0.462,0.258,0.276,0.800,0.400
222,0.333,0.000,0.333,0.000,0.000,0.333,0.02%,0.08%,1.221239365,13.00%,60.00%,50.00%,0.412,0.427,0.422,0.420,0.680,0.467
223,0.000,0.333,0.333,0.000,0.000,0.333,4.58%,1.02%,1.00204896,10.09%,55.00%,55.00%,0.592,0.563,0.306,0.295,0.560,0.533
224,0.333,0.000,0.000,0.333,0.000,0.333,2.08%,0.48%,1.117253227,11.73%,55.00%,55.00%,0.493,0.485,0.367,0.365,0.560,0.533
225,0.000,0.333,0.000,0.333,0.000,0.333,2.22%,0.43%,0.948520312,9.71%,55.00%,40.00%,0.499,0.478,0.278,0.278,0.560,0.333
226,0.000,0.000,0.333,0.333,0.000,0.333,4.62%,1.12%,1.204041067,12.43%,55.00%,45.00%,0.594,0.577,0.413,0.395,0.560,0.400
227,0.333,0.000,0.000,0.000,0.333,0.333,1.77%,0.31%,0.924853412,9.36%,60.00%,50.00%,0.481,0.460,0.265,0.263,0.680,0.467
228,0.000,0.333,0.000,0.000,0.333,0.333,2.40%,0.43%,0.857932817,8.48%,65.00%,45.00%,0.506,0.478,0.230,0.226,0.800,0.400
229,0.000,0.000,0.333,0.000,0.333,0.333,1.72%,0.27%,0.90535242,8.98%,55.00%,50.00%,0.479,0.455,0.255,0.247,0.560,0.467
230,0.000,0.000,0.000,0.333,0.333,0.333,1.00%,0.11%,0.88915352,9.09%,60.00%,45.00%,0.451,0.431,0.247,0.252,0.680,0.400
231,0.250,0.250,0.250,0.250,0.000,0.000,9.61%,2.47%,1.481031267,15.36%,55.00%,50.00%,0.791,0.773,0.559,0.521,0.560,0.467
232,0.250,0.250,0.250,0.000,0.250,0.000,5.80%,1.46%,1.347108913,13.66%,55.00%,70.00%,0.640,0.627,0.488,0.448,0.560,0.733
233,0.250,0.250,0.000,0.250,0.250,0.000,6.42%,1.56%,1.217077907,12.51%,65.00%,65.00%,0.665,0.641,0.419,0.399,0.800,0.667
234,0.250,0.000,0.250,0.250,0.250,0.000,6.56%,1.81%,1.579028222,16.25%,55.00%,45.00%,0.670,0.677,0.610,0.559,0.560,0.400
235,0.000,0.250,0.250,0.250,0.250,0.000,6.77%,1.67%,1.269450205,13.04%,60.00%,55.00%,0.679,0.658,0.447,0.421,0.680,0.533
236,0.250,0.250,0.250,0.000,0.000,0.250,4.29%,1.04%,1.136064633,11.75%,60.00%,60.00%,0.581,0.566,0.377,0.366,0.680,0.600
237,0.250,0.250,0.000,0.250,0.000,0.250,3.36%,0.73%,0.996955143,10.25%,55.00%,60.00%,0.544,0.520,0.303,0.301,0.560,0.600
238,0.250,0.000,0.250,0.250,0.000,0.250,4.36%,1.16%,1.312257301,13.93%,60.00%,50.00%,0.584,0.583,0.470,0.460,0.680,0.467
239,0.000,0.250,0.250,0.250,0.000,0.250,5.13%,1.17%,1.071879778,10.85%,60.00%,60.00%,0.614,0.585,0.343,0.327,0.680,0.600
240,0.250,0.250,0.000,0.000,0.250,0.250,2.39%,0.42%,0.852324781,8.39%,55.00%,55.00%,0.506,0.476,0.227,0.222,0.560,0.533
241,0.250,0.000,0.250,0.000,0.250,0.250,2.07%,0.45%,1.094061693,11.22%,60.00%,60.00%,0.493,0.480,0.355,0.343,0.680,0.600
242,0.000,0.250,0.250,0.000,0.250,0.250,3.74%,0.76%,0.906347414,8.92%,55.00%,65.00%,0.559,0.526,0.256,0.245,0.560,0.667
243,0.250,0.000,0.000,0.250,0.250,0.250,3.09%,0.64%,0.979382952,10.05%,55.00%,65.00%,0.533,0.508,0.294,0.293,0.560,0.667
244,0.000,0.250,0.000,0.250,0.250,0.250,1.86%,0.34%,0.892118303,9.20%,65.00%,40.00%,0.485,0.464,0.248,0.257,0.800,0.333
245,0.000,0.000,0.250,0.250,0.250,0.250,3.67%,0.79%,1.048570622,10.51%,60.00%,55.00%,0.556,0.530,0.331,0.313,0.680,0.533
246,0.200,0.200,0.200,0.200,0.200,0.000,8.05%,2.00%,1.371974486,13.92%,55.00%,60.00%,0.729,0.705,0.501,0.459,0.560,0.600
247,0.200,0.200,0.200,0.200,0.000,0.200,5.49%,1.30%,1.181784489,11.92%,55.00%,55.00%,0.628,0.603,0.401,0.373,0.560,0.533
248,0.200,0.200,0.200,0.000,0.200,0.200,3.47%,0.74%,1.010770576,10.08%,55.00%,65.00%,0.548,0.522,0.311,0.294,0.560,0.667
249,0.200,0.200,0.000,0.200,0.200,0.200,3.37%,0.68%,0.918444485,9.20%,60.00%,60.00%,0.544,0.514,0.262,0.257,0.680,0.600
250,0.200,0.000,0.200,0.200,0.200,0.200,4.49%,1.04%,1.162878127,11.82%,55.00%,50.00%,0.588,0.566,0.391,0.369,0.560,0.467
251,0.000,0.200,0.200,0.200,0.200,0.200,4.05%,0.88%,0.998392017,10.06%,60.00%,65.00%,0.571,0.542,0.304,0.293,0.680,0.667
252,0.167,0.167,0.167,0.167,0.167,0.167,5.75%,1.29%,1.048489346,10.50%,55.00%,75.00%,0.638,0.602,0.331,0.312,0.560,0.800
